Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
001-Chimbipada.pdf,1,0001,"न भागाच्या हद्दीचा तपशील मारूती मंदिरा जवळ, मारूती | राचे जवळ, भोमरे वाडा, बस स्टॉप जवळ, भुईसेन, शासकीय | श्रम शाळे जवळ, बालखडी, जि प शाळे जवळ, पाटीळ पाडा, | धव वाडा, भुईसेन कोल्हा पाडा, भुईसेन मागचिपाडा, भुइसेन मागचि | मूळ गांव/शहर चिंबीपाडा | सजा चिंबीपाडा | मंडळ खारबाव |  "
002-Chimbipada.pdf,1,0002,"nee भागाच्या हद्दीचा तपशील मारूती मंदिरा जवळ, बालखडी, | सेन मागचि पाडा, चिंबीपाडा गाव, चिंबीपाडा गांव, खडकी खु, | मराई, कुंभार वाडा, पिंपळशेत, खडकी बु. | मूळ गांव/शहर चिंबीपाडा | सजा चिंबीपाडा | मंडळ खारबाव |  "
003-Lakhivali.pdf,1,0003,"न भागाच्या हद्दीचा तपशील माजिवाडा जि प शाळे जवळ, | T, तेळी वडे पाडा, वाण्याचा पाडा, धामने गाव, लाखीवली जि प | ळे जवळ, गडगपाडा, जाभुंळ पाडा, नांदा स्टॉप, लाखीवली गाव, | डखांब, पांजरापूर, गोडाचा पाडा | मूळ गांव/शहर लाखीवली | सजा चिंबीपाडा | मंडळ खारबाव |  "
004-Kuhe.pdf,1,0004,"wee PE भागाच्या हद्दीचा तपशील | सागवीपाडा जि प शाळे चे बाजूला, मढवी पाडा, फणस पाडा, | वी वाडा जि प शाळे चे बाजूला, टेपाचा पाडा गावदेवी मंदिर बाजूला, सागवी पाडा जि प शाळे | TCT, भिळपोंडा वस्ती शाळे चे बाजूला, गराळपाडा, गोंधवळी, भंडार पाडा, काजुपाडा वस्ती | चे बाजूला, साजवाडी, गोधावळी | मूळ गांव/शहर कुहे | सजा चिंबीपाडा | मंडळ खारबाव |  "
005-Paigaon.pdf,1,0005,"wee PE भागाच्या हद्दीचा तपशील | पायगाव संपूर्ण, पायगांव संपुर्ण, पायगांव ते Ge बाडे, पायगांव | र्‌ पासून ते भोयाचपाडा, भोयाचा पाडा पासून से खडकी पाडा, पायगांव प्रा शाळे जवळीक , | पर ते गू, गवळी आळी से arena डोंगरी, पायगांव डोंगरी ते बंगत्याचा पाडा, बंगल्याचा पाडा ते | सजा खारबाव | | गांवा पर्यन्तू, खाडीगांव संपूर्ण परिसर | मूळ गांव/शहर पायगांव | खारबाव | भिवंडी | ठाणे | "
006-Tembhivali.pdf,1,0006,"ee भागाच्या हद्दीचा तपशील टेंभवली गांव जि.प.शाळे मागे, | वली Hearst, टॅंभवली गाव जि प शाळेचे मागे, पालीवळी धोबई | T, पालीवळी जि प शाळेचे मागे | मूळ गांव/शहर टॅभवली | सजा जुनादुर्खी | मंडळ | खारबाव |  "
007-Tembhivali.pdf,1,0007,"— भागाच्या हद्दीचा तपशील | टेंभवली गांव जि.प.शाळे मागे, पालीवळी जि प शाळेचे मागे, | वळी घाटाल पाडा, पालीवाळी रेवळीचा पाडा, पालीवळी गांव शाळेचा मागे, मनीचा पाडा | वळी, पालीवळी जि प शाळेचा मागे, वरण्याचा पाडा पालीवळी, पालीवळी गाव जि प शाळे | , मानिचा पाडा पालीवळी, पालीवळी गांव जि.प.शाळेचे मागे, घाटाळ पाडा पालीवळी, पालीवळी | जि शाळेचा मागे, मानीचा पाडा पालीवळी, रेवळीचा पाडा पारीवळी, पंचमुखी मारूती मंदिर | री, पंचमुखी मारूती मंदिर रोजारी, गाणेगाव (पाटीलवाडा, फिरगपाडा पाटीलवाडा, फिरगपाडा | जि प शाळेचा मागे | मूळ गांव/शहर टॅभवली | सजा जुनादुर्खी | मंडळ खारबाव |  "
008-JunaDurkhi.pdf,1,0008,"न. भागाच्या हद्दीचा तपशील जुनादुर्खी जि.प.शाळे समोर, मदार | 1, इकळठणपाडा, मदारपाडा, कॉलनी जुनादुर्खी, भोइर वाडा, | Te जि शाळे समोर | मूळ गांव/शहर जुनादुखी | सजा जुनादुर्खी | मंडळ | खारबाव |  "
009-JunaDurkhi.pdf,1,0009,"न भागाच्या हद्दीचा तपशील जुनादुर्खी जि.प.शाळे समोर, जुगाव | शाळे समोर, जुनादुर्खी निबंडा, निबांडा, राईपाडा, ठाकरेपाडा, | बडमाळ, करंजपाडा, Hier जि.प.शाळे समोर, सातवी पाडा | प.शाळे मागे | मूळ गांव/शहर जुनादुखी | सजा जुनादुर्खी | मंडळ | खारबाव |  "
010-Katai.pdf,1,0010,न. भागाच्या हद्दीचा तपशील काटई मूळ गांव/शहर काटई | सजा खोणी | मंडळ खारबाव |  
