Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
001-Fellowship_High_School_Ground_Floor_Hall_August_Kranti_Marg_Mumbai-36.pdf,1,0001,"ह. भागाच्या हद्दीचा तपशील अ) ऑगस्ट क्रांति मार्ग, म्यु.घ.नं. | ; बिल्डिंग निर्मल निवास ते म्यू घ.नं. 99 सोनल बिल्डिंग. मूळ गाव/शह | ऑगस्ट क्रांति मार्ग, म्यु.घ.नं.143 धनवंतरी भुवन ते म्यु.घ.नं. | 5 हाजी हबीब बल्डिंग. | "
002-Fellowship_High_School_Ground_Floor_Hall_August_Kranti_Marg_Mumbai-36.pdf,1,0002,"—, भागाच्या हद्दीचा तपशील | अ) गोवालिया cp क्रॉस लेन म्यु घ.नं. 26 रिध्दी-सिध्दी | टमेंट, ( टँकर व्हिला अ ते म्यु.घ.नं.26 टँकर व्हिला पी.)ते म्यु.घ.नं.ट्रान्झिस्ट कॅम्प la 2. | गोवालिया टँक क्रॉस लेन (तेजपाल गल्ली )म्यु घ.नं. 1 चंद्रीव्हिला ते म्यु.घ.नं.6 तेजपल | ऑगस्ट क्रांती मार्ग म्यु.घ.नं.9 डी, म्युनिसिपल चाळ ते गार्डन EL. | "
003-St._Stephen_s_Church_Hall-A_August_Kranti_Marg_Mumbai-36.pdf,1,0003,"नि भागाच्या हद्दीचा तपशील ऑगस्ट क्रांती मार्ग, म्यु.घ.नं.121 | . . मॉन्टी रोझा waz पारसी पंचायत ते म्यु.घ.नं.141, मॉन्टी रोझा ade saree. ट्‌ | "
004-New_Era_School_Gr.Flr_Room_No._24_Nyaymurti_Sitaram_Patankar_Marg_Mumbai-400007.pdf,1,0004,"J भागाच्या हद्दीचा तपशील | अ) न्या.सिताराम पाटकर मार्ग, म्यु.घ.नं. 1 क्वालिटी हाऊस ते | ra. 37 वाच्छा गांधी मेमोरीयल बिल्डिंग नं.2. | ष्णा सांधी मार्ग ( ओवेडेन रोड) म्यु. घ.नं.1 , माझदा व्हिला ते | La 9 सरस्वती हाऊस. | पाईदास मगनलाल पथ (पानगल्ली), म्यु.घ.नं.21 सुर्यकिरन ते म्यु .घ.नं. 21जी तेजपल बिल्डिंग. | न्या. सिताराम पाटकर मार्ग, म्यु.घ.नं. 22 वाडिया हाऊस ते म्यु.घ.नं.36 अ शांती निवास | वी हॉस्पीटल). | "
005-Sevasadan_Society_Ramabai_Navrange_Teacher_College.pdf,1,0005,"ee भागाच्या Sarat तपशील मळ गांब/शहर | अ) डॉ. काशीबाई नवरंगे मार्ग, म्यु.घ.नं.5, अलेक्य़ांडा हाऊस ते | मूळ गाव/ . | शेड. | लॅबनंम रोड, म्यु.घ.नं.3 गोरा गांधी sake ते म्यु.घ.नं.22, मानसेठ निवास. | वाच्छा गांधी ws, Baal टेंपल व्हयू ते म्यु.घ.नं.22 गुरु दत्ता सिंग बिल्डिंग. | दारसंघाचे वगीकरण : | "
006-Shreyas_Hall_Ground_Floor_Dadi_Sheth_2nd_Cross_Lane_Mumbai-400_006.pdf,1,0006,"eee भागाच्या हद्दीचा तपशील | अ)कुलपती के.एम.मुन्शी रोड, म्यु.घ.नं. 5 एल एन.एच.ओ. | र ते म्यु.घ.नं.12-14 सोनी बिल्डिंग 46. | डॉ. एन.ए.पुंरदरे रोड, म्यु.घ.नं. 3 इस्लाम क्लब ते म्यु.घ.नं.11अ एडनवाला बिल्डिंग. | पंडीता रमाबाई रोड, म्यु.घ.नं. 2 म्युनिसीपल sated ते म्यु.घ.नं. 50 मेकीचंद हॉल. | बाबुलनाथ 2२ी क्रॉस लेन, म्यु.घ.नं.1 गिलबर्ट बिल्डिंग ते म्यु.घ.नं.5 आनंद भवन. | "
007-Shreyas_Hall_Ground_Floor_Dadi_Sheth_2nd_Cross_Lane_Mumbai-400_006.pdf,1,0007,"__ भागाच्या हद्दीचा तपशील अ) बाबुलनाथ रोड, म्यु.घ.न.1 | त विलास ते म्यु.घ.न.29-31 सुर्यप्रकाश हॉस्पिटल. | बाबुलनाथ रोड, म्यु.घ.न. 2, नादिरशाह बिल्डिंग ते म्यु.घ.न.30, | 1 मयुर बिल्डिंग. | "
008-Shreyas_Hall_Ground_Floor_Dadi_Sheth_2nd_Cross_Lane_Mumbai-400.pdf,1,0008,"न. भागाच्या हद्दीचा तपशील दादी सेठ मार्ग, म्यु.घ.नं. 2 रतन | . हॉस्पिटल मूळ गांव/शहर. | स ते म्यु.घ.नं. 15, दिसास . 5 | "
009-Shreyas_Hall_Ground_Floor_Dadi_Sheth_2nd_Cross_Lane_Mumbai-400_006.pdf,1,0009,"so भागाच्या हद्दीचा तपशील "" | अ) दादीसेठ रोड,दुसरी क्राँस लेन म्यु. घ. नं. 4 कुवर बिल्डिंग ते| मूळ गाव/शहर . | [.न.14 तेज किरण. | चिरंजीलाल लोयलका रोड, (सिरी रोड) म्यु.घ.नं.3 राम मंदिरते म्यु.घ.नं.9लोयलका | चिरंजीलाल लोयलका रोड, (सिरी रोड),म्यु.घ.नं.18 म्युनिसीपल चाळ नं.2 ते म्यु.घ.न.162 | [सिपल चाळ नं.28. (पान शॉप). | "
010-Public_Works_Department_P.W.D.Kh.No.1_Khatija_Shafi_Marg-2_Mumbai_400_006.pdf,1,0010,"a! भागाच्या हद्दीचा तपशील ” | अ) बाळ गंगाधर खेर मार्ग , म्यु.घ.न. 3 म्युनिसीपल बंगला ते | मूळ गाव/शहर . | 17.34 फ़ेअर व्हयु. | बाळ गंगाधर खेर मार्ग, म्यु .घ.न. स्पेन्टा बिल्डिंग नं.1ते म्यु.घ.नं15 /13 ई एल सिड बिल्डिंग. | बाळ गंगाधर खेर मागं, म्यु .घ.न.15 अ हिल व्ह्यु.ते म्यु.घ.नं.47 चिमणलाल दामोदर बंगला. | "
011-Cathedral_and_John_Canon_Infant_School_Floor_No.1_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0011,"eo भागाच्या हद्दीचा तपशील अ) एल. डी. रूपारेल मार्ग, | घ.न. 11 जीवन ते म्यु.घ.न. 29 कॉस्मो पॉलीस. | एल. डी. रूपारेल मार्ग, म्यु.घ.न. 6 हैदराबाद हाऊस ते | घ.न. 6 हैदराबाद इस्टेट एच. | "
012-Cathedral_and_John_Canon_Infant_School_Ground_Floor_Room_No.2_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0012,"a, भागाच्या हद्दीचा तपशील ब) एल. डी. रूपारेल मार्ग, | aa. 1, अजंठा ते म्यु.घ.न. 19 qatar. | एल डी रूपारेल मार्ग ,आशानगर झोपडपट्टी क्रं. 1 ते 102 . | "
013-Cathedral_and_John_Canon_Infant_School_Floor_No._3_Khatija_Shafi_Marg-2_Mumbai-400_006.pdf,1,0013,"7 भागाच्या हद्दीचा तपशील लिटील गिब्ज रोड, म्यु.घ.नं. 3 पी | न्यू डी बिल्डिंग ते ऑटोमिक एनर्जी dee कवार्टर्स. "
