filename,page,confidence,original_content,content
001-Keshavrao_Khade_Road.pdf,2,82,,1 Municipal House No. 307 Ai Kashinath Building Near Sant Gadgebaba Maharaj Chowk. Sane Guruji Marg 307A to 327. Pincode 400011
001-Keshavrao_Khade_Road.pdf,3,87,,1 Municipal House No. 307 AA Kashinath Building Near Sant Gadgebaba Maharaj Chowk. Sane Guruji Marg 307A to 327. Pincode 400011
001-Keshavrao_Khade_Road.pdf,4,90,,2 Municipal House No. 307 B Kashinath Building Near Sant Gadgebaba Maharaj Chowk. Sane Guruji Marg 307A to 327. Pincode 400011
001-Keshavrao_Khade_Road.pdf,5,90,,4 Municipal House No. 307 D Kashinath Building Near Sant Gadgebaba Maharaj Chowk. Sane Guruji Marg 307A to 327. Pincode 400011
001-Keshavrao_Khade_Road.pdf,6,83,,"5 Municipal House No. 91 Modan Mill Compound Chal No. 2 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,7,84,,"5 Municipal House No. 91 Modan Mill Compound Chal No. 2 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,9,85,,"6 Municipal House No. 91 Modan Mill Compound Chal No. 3 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,10,84,,"7 Municipal House No. 91 Modan Mill Compound Chal No. 4 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,11,84,,"7 Municipal House No. 91 Modan Mill Compound Chal No. 4 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,13,85,,"8 Municipal House No. 91 Modan Mill Compound Chal No. 5 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
001-Keshavrao_Khade_Road.pdf,14,84,,"9 Municipal House No. 91 Modan Mill Compound Chal No. 6 Near Shireen Cinema, Keshavrao Khadye. Sane Guruji Marg 307A to 327. Pincode 400011"
