filename,page,content,confidence,original_content
001-Keshavrao_Khade_Road.pdf,1,1 अ) साने गुरूजी मार्ग 307 ए ते 327 (महानगरपालिका 36)खंड 1 | ब) केशवराव खाडये मार्ग म्युनिसिपल घर 91 ते 105,89,
002-Keshavrao_Khade_Road.pdf,1,अ) साने गुरूजी मार्ग दादाजी धाकजी कंपनी प्रायव्हेट लिमिटेडजवळील झोपडपट्टी ते म्युनिसिपल घर 386 पत्रा चाळ व पत्रा चाळ जवळील झोपडपट्टी रामसिंह गैरेज | ब) साने गुरूजी मार्ग म्युनिसिपल घर 326 ते 342 व म्युनिसिपल घर 173 अलमास अपार्टमेंट ते 209 आकाश अपार्टमेंट,93,
003-Farooq_S_Umar_Bhai_Path.pdf,1,अ) मौलाना आझाद रोड रंगवाला चाळ (महानगरपालिका 36) खंड 1 | ब) मौलाना आझाद रोड म्युनिसिपल घर 54 ई ते म्युनिसिपल घर 168,84,
004-Farooq_S_Umar_Bhai_Path.pdf,1,आर. बी. चांदोरकर मार्ग म्युनिसिपल घर क्रमांक 2 ते 26 ए,89,
005-Farooq_S_Umar_Bhai_Path.pdf,1,अ) मोहम्मद स्ट्रीट म्युनिसिपल घर 1-11 व 4-8 | ब) मोहम्मद स्ट्रीट | क) मौलाना आझाद रोड रंगवाला कंपाउड जवळील झोपडपट्टी व हिंदुस्तान मिलजवळील झोपडपट्टीड) फारूख एस. उमरभाई पथ म्युनिसिपल घर 15 ते 23,89,
006-Farooq_S_Umar_Bhai_Path.pdf,1,माधवराव गांगण मार्ग म्युनिसिपल घर 3 ते गर,83,
007-Farooq_S_Umar_Bhai_Path.pdf,1,1 | अ) माधवराव गांगण मार्ग म्युनिसिपल घर 4 ते 6 | ब) माधवराव गांगण मार्ग म्युनिसिपल घर 16 ई ते 22,92,
008-Farooq_S_Umar_Bhai_Path.pdf,1,1 अ) मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्युनिसिपल घर 11 ते 57 | ब) मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्युनिसिपल घर 2 ते 8,90,
009-Farooq_S_Umar_Bhai_Path.pdf,1,"अ) फारुख एस उमरभाई पथ म्युनिसिपल घर 3 बी. आय. टी. चाळ क्रमांक 8 ते 7 बी, बी. आय. टी. चाळ क्रमांक 12 | ब) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) म्युनिसिपल घर 87 ते 89 एफ | क) मोटली बाई स्ट्रीट म्युनिसिपल घर 1 ते 22 | ड) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) सेंट ऑन्ड्यूज चर्च जवळील फीरोज गांधी झोपडपट्टी | इ) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) म्युनिसिपल घर 65 ते 75 न्यू पत्रा शेड क्रमांक 1 ते 9",92,
010-Farooq_S_Umar_Bhai_Path.pdf,1,1 | अ) आर. बी. चांदोरकर मार्ग म्युनिसिपल घर 1 ते 5 | ब) मेघराज सेठी मार्ग आय टी चाळ क्रमांक 4 ते 30-32 भायखळा नरसिंग होम,91,
