filename,page,confidence,original_content,content
BoothVoterList_A4_Ward_211_Booth_1.pdf,2,85,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1A, Gani Attarwala chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,7,89,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Gani Attarwala chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,12,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,18,92,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Akhade Ki chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,20,89,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Akhade Ki chawl, Second Ghelabhai Road"
BoothVoterList_A4_Ward_211_Booth_1.pdf,21,89,,"LIST PART NO. 1 3 7  : Ghelabai Madan Pura, 2nd Ghelabhai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,22,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,27,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,28,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,29,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,30,85,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1A, Gani Attarwala chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,31,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,32,89,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Gani Attarwala chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,33,92,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Akhade Ki chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,34,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,35,89,,"LIST PART NO. 1 3 7  : Municipal House No. 2 1, Gani Attarwala chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,36,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,37,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,38,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,39,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_1.pdf,40,91,,"LIST PART NO. 1 3 7  : Danish Villa, 3rd Ghelabhai Road, Madanpura"
BoothVoterList_A4_Ward_211_Booth_1.pdf,41,87,,"LIST PART NO. 1 3 7  : Municipal House No. 19, Navi chawl, Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,2,87,,"LIST PART NO. 198  : SATS chawl, 2nd Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,6,82,,"LIST PART NO. 198  : PRAMS chawl, 2nd Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,8,92,,"LIST PART NO. 198  : Municipal House No. 5, Bhiwandiwali chawl, 2nd Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,10,93,,"LIST PART NO. 198  : Municipal House No. 7, Dukhi Sheth chawl, 2nd Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,13,92,,"LIST PART NO. 198  : Municipal House No. 13-15, Rangari Hasan chawl, 2nd Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,14,91,,"LIST PART NO. 198  : Municipal House No. 17-19, Rahimsheth chawl, WT Ghelabai Road,"
BoothVoterList_A4_Ward_211_Booth_10.pdf,17,92,,"LIST PART NO. 198  : Municipal House No. 2 1 (A), Isasumar chawl, 2nd Ghelabai Road,"
