filename,page,content,confidence,original_content
BoothVoterList_A4_Ward_211_Booth_1.pdf,2,"यादी भाग क्र. १ ३ ७ : ४ - म्युनिसिपल घर २ १ए, गनी अत्तरवाला चाळ, घेलाबाई रोड,",85,
BoothVoterList_A4_Ward_211_Booth_1.pdf,7,"यादी भाग क्र. १ ३ ७ : ५ - म्युनिसिपल घर २ १, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89,
BoothVoterList_A4_Ward_211_Booth_1.pdf,12,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_1.pdf,18,"यादी भाग क्र. १ ३ ७ : ७ - म्युनिसिपल घर २ १, आखाडे की चाळ, घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_1.pdf,20,"यादी भाग क्र. १ ३ ७ : ८ - म्युनिसिपल घर २ १, आखाडे की चाल, दुसरा घेलाभाई रोड",89,
BoothVoterList_A4_Ward_211_Booth_1.pdf,21,"यादी भाग क्र. १ ३ ७ : 8 - घेलाबाई मदन पुरा, दुसरा घेलाभाई रोड,",89,
BoothVoterList_A4_Ward_211_Booth_1.pdf,22,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,27,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_1.pdf,28,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,29,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_1.pdf,30,"यादी भाग क्र. १ ३ ७ : ४ - म्युनिसिपल घर २ १ए, गनी अत्तरवाला चाळ, घेलाबाई रोड,",85,
BoothVoterList_A4_Ward_211_Booth_1.pdf,31,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,32,"यादी भाग क्र. १ ३ ७ : ५ - म्युनिसिपल घर २ १, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89,
BoothVoterList_A4_Ward_211_Booth_1.pdf,33,"यादी भाग क्र. १ ३ ७ : ७ - म्युनिसिपल घर २ १, आखाडे की चाळ, घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_1.pdf,34,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,35,"यादी भाग क्र. १ ३ ७ : ५ - म्युनिसिपल घर २ १, गनी अत्तरवाला चाळ, घेलाबाई रोड,",89,
BoothVoterList_A4_Ward_211_Booth_1.pdf,36,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,37,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_1.pdf,38,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,39,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_1.pdf,40,"यादी भाग क्र. १ ३ ७ : १ ० - दानिश विला, तिसरा घेलाभाई रोड, मदनपुरा",91,
BoothVoterList_A4_Ward_211_Booth_1.pdf,41,"यादी भाग क्र. १ ३ ७ : & - म्युनिसिपल घर १ ९, नवी चाळ, घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_10.pdf,2,"यादी भाग क्र. १ ९ ८ : १ - SATS चाळ, २ री घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_10.pdf,6,"यादी भाग क्र. १ ९ ८ : 2- PRAMS चाळ, २ री घेलाबाई रोड,",82,
BoothVoterList_A4_Ward_211_Booth_10.pdf,8,"यादी भाग क्र. १ ९ ८ : ३ - म्युनिसिपल घर ५, भीवंडीवाली चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,10,"यादी भाग क्र. १ ९ ८ : ४ - म्युनिसिपल घर ७, दुखी शेठ चाळ, २ री घेलाबाई रोड,",93,
BoothVoterList_A4_Ward_211_Booth_10.pdf,13,"यादी भाग क्र. १ ९ ८ : ५ - म्युनिसिपल घर १ ३-१ ५, रंगारी हसन चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,14,"यादी भाग क्र. १ ९ ८ : ६ - म्युनिसिपल घर १ ७-१ ९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,17,"यादी भाग क्र. १ ९ ८ : ७ - म्युनिसिपल घर २ १ (अ), इसासुमार चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,21,"यादी भाग क्र. १ ९ ८ : ८ - म्युनिसिपल घर ८ बोरी चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,25,"यादी भाग क्र. १ ९ ८ : ९ - म्युनिसिपल घर ९, मोहसीन चाळ, २ री घेलाबाई रोड,",93,
BoothVoterList_A4_Ward_211_Booth_10.pdf,26,"यादी भाग क्र. १ ९ ८ : १ ० - म्युनिसिपल घर १ ० युसुफ मंझिल, W घेलाबाई रोड,",90,
BoothVoterList_A4_Ward_211_Booth_10.pdf,27,"यादी भाग क्र. १ ९ ८ : १ १ - म्युनिसिपल घर १ १, याकुब मंझील, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,30,"यादी भाग क्र. १ ९ ८ : १ २ - म्युनिसिपल घर २ २ सी, हुसैन बिल्डींग, मोहम मद उमर रजब रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,34,"यादी भाग क्र. १ ९ ८ : 93 - हुसैन बिल्डींग डी ब्लॉक, मोहम्मद उमर रजब रोड,",90,
BoothVoterList_A4_Ward_211_Booth_10.pdf,35,"यादी भाग क्र. १ ९ ८ : १ ४-४ ० ० ० १ १, हुसैन बिल्डींग, मोहम्मद उमर रजब रोड,",93,
BoothVoterList_A4_Ward_211_Booth_10.pdf,36,"यादी भाग क्र. १ ९ ८ : १ ५ - केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४ ० ० ० ० ८",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,37,"यादी भाग क्र. १ ९ ८ : ८ - म्युनिसिपल घर ८ बोरी चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,38,"यादी भाग क्र. १ ९ ८ : १ १ - म्युनिसिपल घर १ १, याकुब मंझील, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,39,"यादी भाग क्र. १ ९ ८ : १ - SATS चाळ, २ री घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_10.pdf,40,"यादी भाग क्र. १ ९ ८ : ६ - म्युनिसिपल घर १ ७-१ ९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,41,"यादी भाग क्र. १ ९ ८ : ८ - म्युनिसिपल घर ८ बोरी चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,42,"यादी भाग क्र. १ ९ ८ : ७ - म्युनिसिपल घर २ १ (अ), इसासुमार चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,43,"यादी भाग क्र. १ ९ ८ : १ ५ - केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४ ० ० ० ० ८",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,44,"यादी भाग क्र. १ ९ ८ : ६ - म्युनिसिपल घर १ ७-१ ९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,45,"यादी भाग क्र. १ ९ ८ : ३ - म्युनिसिपल घर ५, भीवंडीवाली चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,46,"यादी भाग क्र. १ ९ ८ : १ २ - म्युनिसिपल घर २ २ सी, हुसैन बिल्डींग, मोहम मद उमर रजब रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,47,"यादी भाग क्र. १ ९ ८ : ३ - म्युनिसिपल घर ५, भीवंडीवाली चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,48,"यादी भाग क्र. १ ९ ८ : ६ - म्युनिसिपल घर १ ७-१ ९, रहीमशेठ चाळ, WT घेलाबाई रोड,",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,49,"यादी भाग क्र. १ ९ ८ : ३ - म्युनिसिपल घर ५, भीवंडीवाली चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,50,"यादी भाग क्र. १ ९ ८ : १ ५ - केएसए हरीस, 2 घेलाभाई स्ट्रीट, मदनपुरा, मुंबई - ४ ० ० ० ० ८",91,
BoothVoterList_A4_Ward_211_Booth_10.pdf,51,"यादी भाग क्र. १ ९ ८ : १ ४-४ ० ० ० १ १, हुसैन बिल्डींग, मोहम्मद उमर रजब रोड,",93,
BoothVoterList_A4_Ward_211_Booth_10.pdf,52,"यादी भाग क्र. १ ९ ८ : 93 - हुसैन बिल्डींग डी ब्लॉक, मोहम्मद उमर रजब रोड,",90,
BoothVoterList_A4_Ward_211_Booth_10.pdf,53,"यादी भाग क्र. १ ९ ८ : १ २ - म्युनिसिपल घर २ २ सी, हुसैन बिल्डींग, मोहम मद उमर रजब रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,54,"यादी भाग क्र. १ ९ ८ : 2- PRAMS चाळ, २ री घेलाबाई रोड,",82,
BoothVoterList_A4_Ward_211_Booth_10.pdf,55,"यादी भाग क्र. १ ९ ८ : १ - SATS चाळ, २ री घेलाबाई रोड,",87,
BoothVoterList_A4_Ward_211_Booth_10.pdf,56,"यादी भाग क्र. १ ९ ८ : ३ - म्युनिसिपल घर ५, भीवंडीवाली चाळ, २ री घेलाबाई रोड,",92,
BoothVoterList_A4_Ward_211_Booth_10.pdf,57,"यादी भाग क्र. १ ९ ८ : १ ४-४ ० ० ० १ १, हुसैन बिल्डींग, मोहम्मद उमर रजब रोड,",93,
BoothVoterList_A4_Ward_211_Booth_10.pdf,58,"यादी भाग क्र. १ ९ ८ : 2- PRAMS चाळ, २ री घेलाबाई रोड,",82,
BoothVoterList_A4_Ward_211_Booth_11.pdf,2,"यादी भाग क्र. २ ० ३ : १ - म्युनिसिपल घर ७ ८, आगाखान बिल्डींग, मौलाना आझाद रोड,",93,
BoothVoterList_A4_Ward_211_Booth_11.pdf,5,"यादी भाग क्र. २ ० ३ : 2 - म्युनिसिपल घर २ ३ २, राज ऑईल मिल्स, जहाँगीर बोमन बेहराम मार्ग,",91,
BoothVoterList_A4_Ward_211_Booth_11.pdf,7,"यादी भाग क्र. २ ० ३ : ३ - म्युनिसिपल घर २ ४ ९, चिराग अरब, जहाँगीर बोमन बेहराम मार्ग",93,
BoothVoterList_A4_Ward_211_Booth_11.pdf,8,"यादी भाग क्र. २ ० ३ : ४ - म्युनिसिपल घर २ ५ ४, CESS गॅरेज, जहाँगीर बोमन बेहराम मार्ग,",88,
BoothVoterList_A4_Ward_211_Booth_11.pdf,9,"यादी भाग क्र. २ ० ३ : ५ - Hl टॉवर, जहाँगीर बोमन बेहराम मार्ग,",83,
BoothVoterList_A4_Ward_211_Booth_11.pdf,15,"यादी भाग क्र. २ ० ३ : ६ - म्युनिसिपल घर २ २ ४-२ ४ ०, शास्त्री (सुसती) बिल्डींग, जहाँगीर बोमन बेहराम, मार्ग",93,
BoothVoterList_A4_Ward_211_Booth_11.pdf,16,"यादी भाग क्र. २ ० ३ : ७-२ ४ ८ अ, चिरा-ए-अरब, जहाँगीर बोमन बेहराम मार्ग,",86,
BoothVoterList_A4_Ward_211_Booth_11.pdf,18,"यादी भाग क्र. २ ० ३ : १ ० -म्युनिसिपल घरन.२ ५ २ ई, बी. एम. सी. स्टाफ FATE, जहागीर बोमन बेहराम मार्ग,",88,
BoothVoterList_A4_Ward_211_Booth_11.pdf,19,"यादी भाग क्र. २ ० ३ : १ १ - पटेल अपार्टमेंट, मौलाना आझाद रोड, समुंदर हॉटेल समोर, जहागीर बोमन",92,
BoothVoterList_A4_Ward_211_Booth_11.pdf,27,"यादी भाग क्र. २ ० ३ : १ २ - आयशा अपार्टमेंट (सी. एस.१ ६ ९ २), मौलाना आझाद रोड,",92,
BoothVoterList_A4_Ward_211_Booth_11.pdf,30,"यादी भाग क्र. २ ० ३ : १ ३ - आयशा अपार्ट. , मौलाना आझाद WS, मुंबई क्रमांक २ ६",90,
BoothVoterList_A4_Ward_211_Booth_11.pdf,31,"यादी भाग क्र. २ ० ३ : १ ४ - रमझान मंझिल, मौलाना आझाद रोड, आग्रीपाडा,",91,
BoothVoterList_A4_Ward_211_Booth_11.pdf,32,"यादी भाग क्र. २ ० ३ : 94 - Yooo 94, रमझान मंझिल, मौलाना आझाद रोड, आग्रीपाडा,",86,
BoothVoterList_A4_Ward_211_Booth_11.pdf,33,"यादी भाग क्र. २ ० ३ : १ ६ - युसुफ मंझील, मौलाना आझाद रोड,",92,
BoothVoterList_A4_Ward_211_Booth_11.pdf,34,"यादी भाग क्र. २ ० ३ : १ ७ - अर AIM, मौलाना आझाद रोड,",90,
BoothVoterList_A4_Ward_211_Booth_11.pdf,36,"यादी भाग क्र. २ ० ३ : १ ८ - हुसेनी लकडा बाजार, जहांगीर बोमन बेहराम मार्ग, राज ऑइल मिल्स जवळ,",92,
BoothVoterList_A4_Ward_211_Booth_11.pdf,37,"यादी भाग क्र. २ ० ३ : १ ९-228/282, अव्वल AVM, बेलासिस WS, नागपाडा, मुंबई-४ ० ० ० ० ८",90,
