Filename,Page No.,यादी भाग क्रमांक (Yadi Bhag No.),यादी भागाच्या हद्दीचा तपशील (Content)
001-Keshavrao_Khade_Road.pdf,1,0001,यादी भागाच्या हद्दीचा तपशील 1अ)साने गुरूजी मार्ग 307ए ते | 327 (म.न.वि.36)खंड1 ब) क.खा.मार्ग म्यु.घ.नं.91 ते 105  
002-Keshavrao_Khade_Road.pdf,1,0002,यादी भागाच्या हद्दीचा तपशील अ)साने गुरूजी मार्ग दादाजी | धाकजी कं.प्रा.लि.जवळील झोपडपट्टी ते .म्यु.घ.नं.386 पत्रा चाळ व | पत्रा चाळ जवळील झोपडपट्टी रामसिंह गैरेज ब) साने गुरूजी मार्ग | म्यु.घ.नं.326 ते 342 व म्यु.घ.नं.173 अलमास अपार्टमेंट ते 209 | आकाश अपार्टमेंट  
003-Farooq_S_Umar_Bhai_Path.pdf,1,0003,यादी भागाच्या sera तपशील अ)मौलाना आझाद रोड रंगवाला | चाळ (मनिवि36) खंड 1 ब) मौलाना आझाद रोड म्यु.घ.नं.54 ई ते. RT | म्यु घ.नं.1068 सजा | 
004-Farooq_S_Umar_Bhai_Path.pdf,1,0004,यादी भागाच्या हद्दीचा तपशील आर.बी.चांदोरकर मार्ग | म्यु.घ.नं.क्रं.2 ते 26 ए  
005-Farooq_S_Umar_Bhai_Path.pdf,1,,यादी भागाच्या हद्दीचा तपशील अ) मो.स्ट्रीट म्यु.घ.नं.1-11 व | न ‘ Hod गांब/शहर | 4-8 ब) मो.स्ट्रीट क) मौ.आ.रोड रंगवाला कंपाउड जवळील र /शह | झोपडपट्टी व हिंदुस्तान मिलजवळील झोप.ड) फा.एस.उमरभाई पथ सजा | म्यु.घ.नं.15 ते 23 _ 
006-Farooq_S_Umar_Bhai_Path.pdf,1,0006,यादी भागाच्या हद्दीचा तपशील माधवराव गांगण मार्ग म्यु.घ.नं.3 ते | मूळ गांब/शहर . | 
007-Farooq_S_Umar_Bhai_Path.pdf,1,0007,यादी भागाच्या sata तपशील 1 अ) माधवराव गांगण मार्ग | म्यु.घ.नं.4 ते 6 ब) माधवराव गांगण मार्ग म्यु.घ.नं.16 ई ते 22  
008-Farooq_S_Umar_Bhai_Path.pdf,1,0008,"यादी भागाच्या हद्दीचा तपशील 1अ) मोहम्मद शहिद मार्ग | (मोरलॅण्ड रोड) म्यु.घ.नं.11 ते 57 ब)मोहम्मद शहिद मार्ग (मोरलॅण्ड खळ गाव, शहर. | रोड) म्यु.घ.नं.2 ते 8 सजा | 
009-Farooq_S_Umar_Bhai_Path.pdf,1,0011,"यादी भागाच्या Sara तपशील "" | अ)फारुख एस उमरभाई पथ म्यु.घ.नं.3 बी.आय.टी.चाळ न॑.8 ते | मूळ गाव/शहर . | 7 बौ, बी.आव.टी.चाळ नं.12 ब) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) म्यु.व.नं. 87 ते 89 एफ सजा | क) मोटली बाई स्ट्रीट म्यु.घ.नं.1 ते 22 ड) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) सेंट ऑन्ड्यूज चर्च | सपना | जवळील BRT गांधी झोपडपट्टी इ) मोहम्मद शहीद मार्ग (ANS रोड) म्यु.घ.नं.65 ते 75 न्यू | 
010-Farooq_S_Umar_Bhai_Path.pdf,1,0010,यादी भागाच्या हद्दीचा तपशील 1 अ) आर.बी.चांदोरकर मार्ग | म्यु.घ.नं.1 ते 5 ब) मेघराज सेठी मार्ग आय टी चाळ नं.4 ते 30-32 | भायखळा नरसिंग होम  
011-Farooq_S_Umar_Bhai_Path.pdf,1,0011,यादी भागाच्या Sala तपशील अ)डॉ.आनंदराव नायर मार्ग | म्यु.घ.नं.9 ते 45 ब) फारूख एस.उमरभाई पथ म्यु.घ.नं.9 | बी.ई.टी.चाळ नं.14  
