Filename,Page No.,Yadi Bhag No.,Content
001-Keshavrao_Khade_Road.pdf,1,0001, a) Sane Guruji Marg 307A to 327 (MNV 36) Section 1 b) Keshavrao Khade Marg Municipal House No. 91 to 105
002-Keshavrao_Khade_Road.pdf,1,0002, a) Sane Guruji Marg Dadaji Dhakji Co. Pvt. Ltd. nearby slum to Municipal House No. 386 Patra Chawl and nearby slum near Patra Chawl Ramsingh Garage b) Sane Guruji Marg Municipal House No. 326 to 342 and Municipal House No. 173 Almas Apartment to 209 Akash Apartment
003-Farooq_S_Umar_Bhai_Path.pdf,1,0003, a) Maulana Azad Road Rangwala Chawl (MNV 36) Section 1 b) Maulana Azad Road Municipal House No. 54E to Municipal House No. 1068
004-Farooq_S_Umar_Bhai_Path.pdf,1,0004, R.B. Chandorkar Marg Municipal House No. 2 to 26A
005-Farooq_S_Umar_Bhai_Path.pdf,1,, a) Mohammed Street Municipal House No. 1–11 and 4–8 b) Mohammed Street c) Slum near Rangwala Compound on Maulana Azad Road and slum near Hindustan Mill\n d) Farooq S. Umarbhai Path Municipal House No. 15 to 23
006-Farooq_S_Umar_Bhai_Path.pdf,1,0006, Madhavrao Gangan Marg Municipal House No. 3 onwards
007-Farooq_S_Umar_Bhai_Path.pdf,1,0007, a) Madhavrao Gangan Marg Municipal House No. 4 to 6 b) Madhavrao Gangan Marg Municipal House No. 16E to 22
008-Farooq_S_Umar_Bhai_Path.pdf,1,0008, a) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 11 to 57 b) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 2 to 8
009-Farooq_S_Umar_Bhai_Path.pdf,1,0011, a) Farooq S Umarbhai Path Municipal House No. 3 BIT Chawl No. 8 to BIT Chawl No. 12 b) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 87 to 89F c) Motlibai Street Municipal House No. 1 to 22\n d) Mohammed Shaheed Marg near St Andrews Church BRT Gandhi Slum e) Mohammed Shaheed Marg (ANS Road) Municipal House No. 65 to 75
010-Farooq_S_Umar_Bhai_Path.pdf,1,0010, a) R.B. Chandorkar Marg Municipal House No. 1 to 5 b) Meghraj Sethi Marg IT Chawl No. 4 to 30–32 Byculla Nursing Home
011-Farooq_S_Umar_Bhai_Path.pdf,1,0011, a) Dr. Anand Rao Nair Marg Municipal House No. 9 to 45 b) Farooq S Umarbhai Path Municipal House No. 9 BET Chawl No. 14
